Time;Object;Staytime
18/10/2023 9:10:27;MAQUINA2;4,000000
18/10/2023 9:10:28;MAQUINA;0,964548
18/10/2023 9:10:35;MAQUINA;1,937314
18/10/2023 9:10:37;MAQUINA2;3,000000
18/10/2023 9:10:45;MAQUINA;4,660577
18/10/2023 9:10:48;MAQUINA2;5,000000
18/10/2023 9:10:53;MAQUINA2;5,000000
18/10/2023 9:10:56;MAQUINA2;3,000000
18/10/2023 9:10:58;MAQUINA;13,246981
18/10/2023 9:10:58;MAQUINA2;2,000000
18/10/2023 9:11:24;MAQUINA2;2,000000
18/10/2023 9:11:26;MAQUINA;9,657350
18/10/2023 9:11:40;MAQUINA;5,334614
18/10/2023 9:11:41;MAQUINA;0,558049
18/10/2023 9:11:44;MAQUINA;1,423604
18/10/2023 9:11:44;MAQUINA;0,051033
18/10/2023 9:11:47;MAQUINA2;4,000000
18/10/2023 9:11:58;MAQUINA;3,346500
18/10/2023 9:12:04;MAQUINA;4,025830
18/10/2023 9:12:20;MAQUINA;1,739267
18/10/2023 9:12:25;MAQUINA;2,479952
18/10/2023 9:12:26;MAQUINA2;3,000000
18/10/2023 9:12:27;MAQUINA;0,860211
18/10/2023 9:12:36;MAQUINA;1,407680
18/10/2023 9:12:38;MAQUINA;2,401115
18/10/2023 9:13:03;MAQUINA;1,201074
18/10/2023 9:13:03;MAQUINA;0,680560
18/10/2023 9:13:16;MAQUINA;0,574791
18/10/2023 9:13:22;MAQUINA;2,118985
18/10/2023 9:13:28;MAQUINA;0,265072
18/10/2023 9:13:32;MAQUINA2;5,000000
18/10/2023 9:13:56;MAQUINA;1,861775
18/10/2023 9:14:06;MAQUINA2;2,000000
18/10/2023 9:14:07;MAQUINA;8,593730
18/10/2023 9:14:10;MAQUINA;2,380721
18/10/2023 9:14:10;MAQUINA2;4,000000
18/10/2023 9:14:13;MAQUINA;1,009242
18/10/2023 9:14:15;MAQUINA;0,409214
18/10/2023 9:14:22;MAQUINA;0,146795
18/10/2023 9:14:33;MAQUINA;1,454223
18/10/2023 9:14:54;MAQUINA;0,413897
18/10/2023 9:15:05;MAQUINA2;2,000000
18/10/2023 9:15:06;MAQUINA;5,885033
18/10/2023 9:15:13;MAQUINA;6,137440
18/10/2023 9:15:15;MAQUINA2;3,000000
18/10/2023 9:15:25;MAQUINA;4,649346
18/10/2023 9:15:36;MAQUINA;6,970587
18/10/2023 9:15:42;MAQUINA;0,012098
18/10/2023 9:15:56;MAQUINA2;1,000000
18/10/2023 9:16:00;MAQUINA;7,852877
18/10/2023 9:16:01;MAQUINA2;5,000000
18/10/2023 9:16:02;MAQUINA;1,959541
18/10/2023 9:16:32;MAQUINA;13,538508
18/10/2023 9:16:42;MAQUINA;9,000932
18/10/2023 9:17:01;MAQUINA;1,263201
18/10/2023 9:17:06;MAQUINA;0,351133
18/10/2023 9:17:23;MAQUINA;0,504262
18/10/2023 9:17:32;MAQUINA;1,831913
18/10/2023 9:17:39;MAQUINA;1,287224
18/10/2023 9:17:49;MAQUINA;1,011027
18/10/2023 9:18:28;MAQUINA;1,449650
18/10/2023 9:18:32;MAQUINA;0,306304
18/10/2023 9:18:46;MAQUINA;3,369586
18/10/2023 9:19:07;MAQUINA;6,105246
18/10/2023 9:19:31;MAQUINA;10,752777
18/10/2023 9:19:58;MAQUINA;3,576793
18/10/2023 9:20:01;MAQUINA;2,556305
18/10/2023 9:20:11;MAQUINA;1,323664
18/10/2023 9:20:12;MAQUINA2;2,000000
18/10/2023 9:20:32;MAQUINA;5,712632
18/10/2023 9:20:34;MAQUINA;1,928725
18/10/2023 9:20:36;MAQUINA2;5,000000
18/10/2023 9:20:48;MAQUINA;0,747748
18/10/2023 9:20:57;MAQUINA;0,632751
18/10/2023 9:21:44;MAQUINA;3,733109
18/10/2023 9:22:00;MAQUINA2;4,000000
18/10/2023 9:22:01;MAQUINA2;1,000000
18/10/2023 9:22:02;MAQUINA;6,403521
18/10/2023 9:22:13;MAQUINA;0,427299
18/10/2023 9:22:21;MAQUINA;7,299810
18/10/2023 9:22:33;MAQUINA;0,178352
18/10/2023 9:22:40;MAQUINA;4,145675
18/10/2023 9:22:49;MAQUINA;0,877131
18/10/2023 9:22:59;MAQUINA;2,932306
18/10/2023 9:23:05;MAQUINA;1,176907
18/10/2023 9:23:08;MAQUINA;2,235543
18/10/2023 9:23:19;MAQUINA;1,814730
18/10/2023 9:23:35;MAQUINA2;3,000000
18/10/2023 9:23:40;MAQUINA2;4,000000
18/10/2023 9:23:41;MAQUINA;8,932719
18/10/2023 9:23:59;MAQUINA;2,785059
18/10/2023 9:23:59;MAQUINA;0,772925
18/10/2023 9:24:20;MAQUINA;1,269032
18/10/2023 9:24:40;MAQUINA;6,093220
18/10/2023 9:24:49;MAQUINA;6,698061
18/10/2023 9:24:52;MAQUINA2;5,000000
18/10/2023 9:24:57;MAQUINA;0,023451
18/10/2023 9:25:07;MAQUINA;2,595563
18/10/2023 9:25:13;MAQUINA;3,988479
18/10/2023 9:25:31;MAQUINA;10,175919
18/10/2023 9:25:34;MAQUINA;0,723781
18/10/2023 9:25:37;MAQUINA2;2,000000
18/10/2023 9:25:40;MAQUINA;4,910171
18/10/2023 9:25:47;MAQUINA;1,606617
18/10/2023 9:26:04;MAQUINA;9,488986
18/10/2023 9:26:13;MAQUINA;0,978215
18/10/2023 9:26:34;MAQUINA;0,018561
18/10/2023 9:26:47;MAQUINA;4,588967
18/10/2023 9:26:48;MAQUINA;0,844222
18/10/2023 9:26:50;MAQUINA;2,098789
18/10/2023 9:26:52;MAQUINA;1,623712
18/10/2023 9:27:21;MAQUINA;1,416752
18/10/2023 9:27:41;MAQUINA;5,501235
18/10/2023 9:27:56;MAQUINA;0,975937
18/10/2023 9:28:00;MAQUINA;0,388452
18/10/2023 9:28:14;MAQUINA;1,430581
18/10/2023 9:28:39;MAQUINA;0,445343
18/10/2023 9:28:40;MAQUINA;0,687277
18/10/2023 9:28:52;MAQUINA;3,269661
18/10/2023 9:28:52;MAQUINA2;3,000000
18/10/2023 9:28:53;MAQUINA;1,411755
18/10/2023 9:29:00;MAQUINA;1,759868
18/10/2023 9:29:02;MAQUINA2;3,000000
18/10/2023 9:29:14;MAQUINA;0,866503
18/10/2023 9:29:24;MAQUINA;7,743050
18/10/2023 9:29:26;MAQUINA2;3,000000
18/10/2023 9:29:33;MAQUINA;3,571530
18/10/2023 9:30:25;MAQUINA2;3,000000
18/10/2023 9:30:26;MAQUINA;18,542680
18/10/2023 9:30:30;MAQUINA;3,612771
18/10/2023 9:30:30;MAQUINA2;5,000000
18/10/2023 9:30:31;MAQUINA;1,357309
18/10/2023 9:30:32;MAQUINA;0,868485
18/10/2023 9:30:34;MAQUINA;0,803724
18/10/2023 9:30:39;MAQUINA;1,070238
18/10/2023 9:30:43;MAQUINA;0,465488
18/10/2023 9:30:50;MAQUINA;0,273880
18/10/2023 9:31:04;MAQUINA;0,018261
18/10/2023 9:31:14;MAQUINA;0,138430
18/10/2023 9:31:26;MAQUINA;8,965005
18/10/2023 9:31:38;MAQUINA;0,539325
18/10/2023 9:31:47;MAQUINA;2,739081
18/10/2023 9:31:50;MAQUINA2;3,000000
18/10/2023 9:31:53;MAQUINA;0,061580
18/10/2023 9:32:22;MAQUINA;0,543466
18/10/2023 9:32:25;MAQUINA2;3,000000
18/10/2023 9:32:29;MAQUINA2;4,000000
18/10/2023 9:32:30;MAQUINA;6,819447
18/10/2023 9:32:34;MAQUINA2;5,000000
18/10/2023 9:32:50;MAQUINA;4,108502
18/10/2023 9:32:54;MAQUINA;0,686267
18/10/2023 9:33:20;MAQUINA;5,291597
18/10/2023 9:33:29;MAQUINA;7,228021
18/10/2023 9:33:31;MAQUINA;0,027324
18/10/2023 9:33:44;MAQUINA;1,309257
18/10/2023 9:33:45;MAQUINA;0,003601
18/10/2023 9:33:48;MAQUINA;3,057415
18/10/2023 9:33:50;MAQUINA2;5,000000
18/10/2023 9:33:52;MAQUINA;4,222546
18/10/2023 9:34:02;MAQUINA;4,949868
18/10/2023 9:34:09;MAQUINA;3,267994
18/10/2023 9:34:15;MAQUINA;1,691544
18/10/2023 9:34:17;MAQUINA;1,321584
18/10/2023 9:34:20;MAQUINA;1,090062
18/10/2023 9:34:52;MAQUINA;6,418583
18/10/2023 9:34:52;MAQUINA2;3,000000
